"35","112_2_44_2","12","I-15 NB between I-15 NB Charleston EB Off-Ramp and I-15 NB Charleston WB Off-Ramp","microwave radar","36156330","-115159843","580","1353","1842","4633"
"36","112_2_44_3","12","I-15 NB between I-15 NB Charleston EB Off-Ramp and I-15 NB Charleston WB Off-Ramp","microwave radar","36156330","-115159843","580","1353","1842","4633"
"37","112_2_44_4","12","I-15 NB between I-15 NB Charleston EB Off-Ramp and I-15 NB Charleston WB Off-Ramp","microwave radar","36156330","-115159843","580","1353","1842","4633"
"38","112_2_44_5","12","I-15 NB between I-15 NB Charleston EB Off-Ramp and I-15 NB Charleston WB Off-Ramp","microwave radar","36156330","-115159843","580","1353","1842","4633"
"39","113_2_45_1","13","I-15 NB between I-15 NB Charleston WB Off-Ramp and I-15 NB Charleston On-Ramp","microwave radar","36159657","-115159103","580","1353","1842","4633"
"40","113_2_45_2","13","I-15 NB between I-15 NB Charleston WB Off-Ramp and I-15 NB Charleston On-Ramp","microwave radar","36159657","-115159103","580","1353","1842","4633"
"41","113_2_45_3","13","I-15 NB between I-15 NB Charleston WB Off-Ramp and I-15 NB Charleston On-Ramp","microwave radar","36159657","-115159103","580","1353","1842","4633"
"42","114_2_44_1","14","I-15 NB Charleston Off-Ramp between I-15 NB and Charleston Boulevard","microwave radar","36156761","-115159393","580","1353","1842","4633"
"43","115_1_45_1","15","I-15 NB Grand Central Off-Ramp between I-15 NB and Grand Central Parkway","microwave radar","36159218","-115158691","580","1353","1842","4633"
"44","116_2_45_1","16","I-15 NB Grand Central On-Ramp between Grand Central Parkway and I-15 NB","microwave radar","36160892","-115158722","580","1353","1842","4633"
"45","117_1_46_1","17","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36159752","-115161598","580","1353","1842","4633"
"46","117_1_46_2","17","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36159752","-115161598","580","1353","1842","4633"
"47","117_1_46_3","17","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36159752","-115161598","580","1353","1842","4633"
"48","117_1_46_4","17","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36159752","-115161598","580","1353","1842","4633"
"49","117_3_43_1","18","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36154461","-115163368","580","1353","1842","4633"
"50","117_3_43_2","18","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36154461","-115163368","580","1353","1842","4633"
"51","117_3_43_3","18","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36154461","-115163368","580","1353","1842","4633"
"52","117_3_43_4","18","I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp","microwave radar","36154461","-115163368","580","1353","1842","4633"
"53","118_1_46_1","19","I-15 SB MLK/Charleston Off-Ramp between I-15 SB and Martin Luther King Boulevard","microwave radar","36161842","-115161362","580","1353","1842","4633"
"54","118_1_541_1","20","I-15 SB MLK/Charleston Off-Ramp between I-15 SB and Martin Luther King Boulevard","microwave radar","36161842","-115161362","580","1353","1842","4633"
"55","121_1_43_1","21","I-15 SB MLK Blvd On-Ramp between Martin Luther King Boulevard and I-15 SB","video Image","36154499","-115162560","580","1353","1842","4633"
"56","122_2_48_1","22","I-15 NB between I-15 NB Charleston On-Ramp and I-15 NB to US-95 NB Ramp","microwave radar","36164787","-115158470","580","1353","1842","4633"
"57","122_2_48_2","22","I-15 NB between I-15 NB Charleston On-Ramp and I-15 NB to US-95 NB Ramp","microwave radar","36164787","-115158470","580","1353","1842","4633"
"58","122_2_48_3","22","I-15 NB between I-15 NB Charleston On-Ramp and I-15 NB to US-95 NB Ramp","microwave radar","36164787","-115158470","580","1353","1842","4633"
"59","122_2_48_4","22","I-15 NB between I-15 NB Charleston On-Ramp and I-15 NB to US-95 NB Ramp","microwave radar","36164787","-115158470","580","1353","1842","4633"
"60","122_2_48_5","22","I-15 NB between I-15 NB Charleston On-Ramp and I-15 NB to US-95 NB Ramp","microwave radar","36164787","-115158470","580","1353","1842","4633"
"61","123_2_50_1","23","I-15 SB between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp","microwave radar","36165977","-115160645","580","1353","1842","4633"
"62","123_2_50_2","23","I-15 SB between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp","microwave radar","36165977","-115160645","580","1353","1842","4633"
"63","123_2_50_3","23","I-15 SB between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp","microwave radar","36165977","-115160645","580","1353","1842","4633"
"64","123_2_50_4","23","I-15 SB between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp","microwave radar","36165977","-115160645","580","1353","1842","4633"
"65","123_2_50_5","23","I-15 SB between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp","microwave radar","36165977","-115160645","580","1353","1842","4633"
"66","124_2_49_1","24","I-15 NB between I-15 NB to US-95 NB Ramp and I-15 NB to I-215 WB Ramp","microwave radar","36171608","-115155403","580","1353","1842","4633"
"67","124_2_49_2","24","I-15 NB between I-15 NB to US-95 NB Ramp and I-15 NB to I-215 WB Ramp","microwave radar","36171608","-115155403","580","1353","1842","4633"
"68","124_2_49_3","24","I-15 NB between I-15 NB to US-95 NB Ramp and I-15 NB to I-215 WB Ramp","microwave radar","36171608","-115155403","580","1353","1842","4633"
"69","124_2_49_4","24","I-15 NB between I-15 NB to US-95 NB Ramp and I-15 NB to I-215 WB Ramp","microwave radar","36171608","-115155403","580","1353","1842","4633"
"70","124_2_49_5","24","I-15 NB between I-15 NB to US-95 NB Ramp and I-15 NB to I-215 WB Ramp","microwave radar","36171608","-115155403","580","1353","1842","4633"
"71","125_2_49_1","25","I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB","microwave radar","36169209","-115157127","580","1353","1842","4633"
"72","125_2_49_2","25","I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB","microwave radar","36169209","-115157127","580","1353","1842","4633"
"73","126_1_49_1","26","I-15 NB MLK Blvd Off-Ramp between I-15 NB and Martin Luther King Boulevard","microwave radar","36173618","-115156914","580","1353","1842","4633"
"74","126_2_80_1","27","I-15 NB MLK Blvd Off-Ramp between I-15 NB and Martin Luther King Boulevard","microwave radar","36174770","-115155373","580","1353","1842","4633"
"75","127_1_201_1","28","I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB","microwave radar","36173687","-115165710","580","1353","1842","4633"
"76","127_1_201_2","28","I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB","microwave radar","36173687","-115165710","580","1353","1842","4633"
"77","127_1_531_1","29","I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB","microwave radar","36173687","-115165710","580","1353","1842","4633"
"78","127_1_531_2","29","I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB","microwave radar","36173687","-115165710","580","1353","1842","4633"
"79","129_2_49_1","30","I-15 NB to US-95 SB Ramp between I-15 NB and I-515 SB","microwave radar","36172123","-115153595","580","1353","1842","4633"
"80","129_2_49_2","30","I-15 NB to US-95 SB Ramp between I-15 NB and I-515 SB","microwave radar","36172123","-115153595","580","1353","1842","4633"
"81","132_1_80_1","31","I-15 SB between I-15 SB to US-95 Ramp and US-95 NB to I-15 SB Ramp","microwave radar","36176147","-115153961","580","1353","1842","4633"
"82","132_1_80_2","31","I-15 SB between I-15 SB to US-95 Ramp and US-95 NB to I-15 SB Ramp","microwave radar","36176147","-115153961","580","1353","1842","4633"
"83","132_1_80_3","31","I-15 SB between I-15 SB to US-95 Ramp and US-95 NB to I-15 SB Ramp","microwave radar","36176147","-115153961","580","1353","1842","4633"
"84","134_1_80_1","32","I-15 SB to US-95 NB & SB Ramp between I-15 SB and US-95 NB","microwave radar","36178356","-115153831","580","1353","1842","4633"
"85","135_1_80_1","33","I-15 SB to US-95 Ramp between I-15 SB and I-515 SB","microwave radar","36175045","-115154602","580","1353","1842","4633"
"86","136_2_47_1","34","I-15 SB between US-95 NB to I-15 SB Ramp and US-95 SB to I-15 SB Ramp","microwave radar","36170994","-115158516","580","1353","1842","4633"
"87","136_2_47_2","34","I-15 SB between US-95 NB to I-15 SB Ramp and US-95 SB to I-15 SB Ramp","microwave radar","36170994","-115158516","580","1353","1842","4633"
"88","136_2_47_3","34","I-15 SB between US-95 NB to I-15 SB Ramp and US-95 SB to I-15 SB Ramp","microwave radar","36170994","-115158516","580","1353","1842","4633"
"89","136_2_47_4","34","I-15 SB between US-95 NB to I-15 SB Ramp and US-95 SB to I-15 SB Ramp","microwave radar","36170994","-115158516","580","1353","1842","4633"
"90","137_1_80_1","35","I-15 NB between US-95 NB to I-15 NB Ramp and I-15 NB Wash./D-Street Off-Ramp","microwave radar","36176270","-115150932","580","1353","1842","4633"
"91","137_1_80_2","35","I-15 NB between US-95 NB to I-15 NB Ramp and I-15 NB Wash./D-Street Off-Ramp","microwave radar","36176270","-115150932","580","1353","1842","4633"
"92","137_1_80_3","35","I-15 NB between US-95 NB to I-15 NB Ramp and I-15 NB Wash./D-Street Off-Ramp","microwave radar","36176270","-115150932","580","1353","1842","4633"
"93","137_1_80_4","35","I-15 NB between US-95 NB to I-15 NB Ramp and I-15 NB Wash./D-Street Off-Ramp","microwave radar","36176270","-115150932","580","1353","1842","4633"
"94","138_1_53_1","36","I-15 NB between I-15 NB Wash./D-Street Off-Ramp and I-15 NB Washington/D-St On-Ramp","microwave radar","36178967","-115146538","580","1353","1842","4633"
"95","138_1_53_2","36","I-15 NB between I-15 NB Wash./D-Street Off-Ramp and I-15 NB Washington/D-St On-Ramp","microwave radar","36178967","-115146538","580","1353","1842","4633"
