DetectorID,RoadType,Location
40.1.9,Freeway,I-15 SB between I-15 SB to I-215 WB/EB Ramp and I-215 WB to I-15 SB Ramp
49.2.12,Freeway,I-15 NB between I-15 NB Russell Off-Ramp and I-15 NB Russell On-Ramp
523.1.12,Freeway,I-15 NB CD between Russell Road and Oquendo
50.2.12,Off-Ramp,I-15 NB Russell Off-Ramp between I-15 NB and Russell Road
531.1.12,Off-Ramp,Frank Sinatra Drive between I-15 SB and Frank Sinatra Drive
529.2.13,Freeway,I-15 SB CD between Oquendo and Russell Road
57.1.13,Freeway,I-15 SB between I-15 SB Russell On-Ramp and I-15 SB to I-215 WB/EB Ramp
55.1.13,On-Ramp,I-15 SB Russell On-Ramp between Russell Road and I-15 SB
464.3.15,Freeway,I 15 Exp SB between I-15 SB Russell Off-Ramp and Russell Road
49.3.15,Freeway,I-15 NB between I-15 NB Russell Off-Ramp and I-15 NB Russell On-Ramp
522.2.15,Freeway,I-15 NB CD between Hacienda Avenue and Russell Road
457.2.16,Freeway,I 15 Exp NB between I-15 NB Russell On-Ramp and Hacienda Avenue
69.2.16,Freeway,I-15 SB between I-15 SB Tropicana On-Ramp and I-15 SB Russell Off-Ramp
530.1.16,Freeway,I-15 SB CD between Hacienda Avenue and Tropicana Avenue
464.2.17,Freeway,I 15 Exp SB between Hacienda Avenue and I-15 SB Russell Off-Ramp
58.2.17,Freeway,I-15 NB between I-15 NB Russell On-Ramp and I-15 NB Tropicana Off-Ramp
522.1.17,Freeway,I-15 NB CD between Hacienda Avenue and Russell Road
458.1.18,Freeway,I 15 Exp NB between Tropicana Avenue and Tompkins
59.2.18,Freeway,I-15 NB between I-15 NB Tropicana Off-Ramp and I-15 NB Tropicana On-Ramp
61.3.18,Off-Ramp,I-15 NB Tropicana On-Ramp between I-15 NB and Tropicana Avenue
63.2.18,On-Ramp,I-15 NB Tropicana Ave On-Ramp between Tropicana Avenue and I-15 NB
463.3.19,Freeway,I 15 Exp SB between Tompkins and Tropicana Avenue
64.1.19,Freeway,I-15 SB between I-15 SB Tropicana Off-Ramp and I-15 SB Tropicana On-Ramp
65.1.19,Off-Ramp,I-15 SB Tropicana Off-Ramp between I-15 SB and Tropicana Avenue
65.2.19,Off-Ramp,I-15 SB Tropicana Off-Ramp between I-15 SB and Tropicana Avenue
463.2.20,Freeway,I 15 Exp SB between Harmon Ave and Tompkins
78.2.20,Freeway,I-15 SB between I-15 SB Flamingo On-Ramp and I-15 SB Tropicana Off-Ramp
458.2.21,Freeway,I 15 Exp NB between Tompkins and Harmon Ave
70.2.21,Freeway,I-15 NB between I-15 NB Tropicana On-Ramp and I-15 NB Flamingo EB Off-Ramp
458.3.23,Freeway,I 15 Exp NB between Harmon Ave and Flamingo Road
71.2.23,Freeway,I-15 NB between I-15 NB Flamingo EB Off-Ramp and I-15 NB Spring Mtn Off-Ramp
73.2.23,Off-Ramp,I-15 NB Flamingo EB Off-Ramp between I-15 NB and Flamingo Road
463.1.24,Freeway,I 15 Exp SB between Flamingo Road and Harmon Ave
77.2.24,Freeway,I-15 SB between I-15 SB Flamingo EB Off-Ramp and I-15 SB Flamingo On-Ramp
81.2.24,On-Ramp,I-15 SB Flamingo On-Ramp between Flamingo Road and I-15 SB
665.1.25,Freeway,CC-215 WB between Charleston Boulevard and I-515 SB College On Ramp
676.1.25,On-Ramp,I-215 NB Jones OnRamp between Lake Mead Boulevard and Cheyenne Avenue
462.3.26,Freeway,I 15 Exp SB between Twain and Flamingo Road
76.2.26,Freeway,I-15 SB between I-15 SB Flamingo WB Off-Ramp and I-15 SB Flamingo EB Off-Ramp
462.2.27,Freeway,I 15 Exp SB between Highland and Twain
92.2.27,Freeway,I-15 SB between I-15 SB Spring Mtn On-Ramp and I-15 SB Flamingo WB Off-Ramp
459.2.28,Freeway,I 15 Exp NB between Twain and Highland
72.2.28,Freeway,I-15 NB between I-15 NB Spring Mtn Off-Ramp and I-15 NB Flamingo On-Ramp
459.3.28,Freeway,I 15 Exp NB between Highland and Spring Mountain Road
89.1.28,Freeway,I-15 NB between I-15 NB Spring Mtn WB On-Ramp and I-15 NB Desert Inn On-Ramp
